req_id,req_text_hash,design_ref,test_ids,gate,responsible,status
FR-01,hash-fr01-boot-init,ch.01S5+ch.03,HALIDE-BOOT-01;HALIDE-BOOT-02,Phase-2,System-lead,PASS-v0
FR-02,hash-fr02-android-runtime,ch.04S5+ch.05S2,HALIDE-AND-01;HALIDE-AND-02,Phase-2,Android-lead,PASS-v0
FR-03,hash-fr03-identity-perms,ch.01S5+ch.05S9,HALIDE-SEC-01;HALIDE-SEC-02,Phase-2,Security-lead,PLANNED
FR-04,hash-fr04-networking-single-stack,ch.01S5+ch.05S16,HALIDE-NET-01;HALIDE-NET-02;HALIDE-NET-03,Phase-3,Telephony-lead,PLANNED
FR-05,hash-fr05-audio-single-server,ch.01S5+ch.05S29,HALIDE-AUD-01;HALIDE-AUD-02,Phase-3,Platform-lead,PLANNED
FR-06,hash-fr06-updates,ch.01S5+ch.09S4,HALIDE-OTA-01;HALIDE-OTA-02,Phase-3,Release-lead,PLANNED
FR-07,hash-fr07-recovery,ch.01S5+ch.09S10,HALIDE-REC-01,Phase-2,Release-lead,PLANNED
NFR-boot-45s,hash-nfr-boot,ch.10S4,HALIDE-BOOT-03,Phase-3,QA-lead,PLANNED
NFR-jank-5pct,hash-nfr-jank,ch.10S4,HALIDE-GFX-01,Phase-3,Graphics-lead,PLANNED
NFR-standby-2x,hash-nfr-standby,ch.02S6,HALIDE-PWR-01,Phase-3,QA-lead,PLANNED
NFR-thermal-45c,hash-nfr-thermal,ch.10S28,HALIDE-THM-01,Phase-3,QA-lead,PLANNED
NFR-attach-90s,hash-nfr-attach,ch.07S6,HALIDE-TEL-01,Phase-3,Telephony-lead,PLANNED
NFR-stall-2per-week,hash-nfr-stall,ch.07S20,HALIDE-TEL-02,Phase-3,Telephony-lead,PLANNED
NFR-perm-sync-10s,hash-nfr-permsync,ch.05S9,HALIDE-SEC-03,Phase-2,Security-lead,PLANNED
NFR-redacted-logs,hash-nfr-logs,ch.01S294,HALIDE-LOG-01,Phase-2,Security-lead,PLANNED
NFR-mtbf-soak,hash-nfr-mtbf,ch.10S15,HALIDE-SOAK-01,Phase-3,QA-lead,PLANNED
NFR-a11y-sr,hash-nfr-a11y,accessibility-test-planS2,HALIDE-A11Y-01,Phase-3,QA-lead,PLANNED
NFR-l10n-critical,hash-nfr-l10n,localization-workflowS6,HALIDE-L10N-01,Phase-3,Program-lead,PLANNED
NFR-compat-top100,hash-nfr-compat,ch.01S15,HALIDE-COMPAT-01,Phase-3,Program-lead,PLANNED
