// SAMPLE evidence for gate record 1-2-20260814-REF-A — Phase-1 exit bar
// REDACTED: scripts/suspend-stress.sh cycle rows, wakeup sources stripped. SKU REF-A (HALIDE-A1).
// Build: halide-20260814-a3f9c1e2b4d6 · result vocabulary: OK|RESUME-FAIL
cycle,timestamp,result
1,2026-08-14T09:10:00Z,OK
2,2026-08-14T09:10:10Z,OK
3,2026-08-14T09:10:20Z,OK
4,2026-08-14T09:10:30Z,OK
5,2026-08-14T09:10:40Z,OK
6,2026-08-14T09:10:50Z,OK
7,2026-08-14T09:11:00Z,OK
8,2026-08-14T09:11:10Z,OK
9,2026-08-14T09:11:20Z,OK
10,2026-08-14T09:11:30Z,OK
11,2026-08-14T09:11:40Z,OK
12,2026-08-14T09:11:50Z,OK
13,2026-08-14T09:12:00Z,OK
14,2026-08-14T09:12:10Z,OK
15,2026-08-14T09:12:20Z,OK
16,2026-08-14T09:12:30Z,OK
17,2026-08-14T09:12:40Z,OK
18,2026-08-14T09:12:50Z,OK
19,2026-08-14T09:13:00Z,OK
20,2026-08-14T09:13:10Z,OK
21,2026-08-14T09:13:20Z,OK
22,2026-08-14T09:13:30Z,OK
23,2026-08-14T09:13:40Z,OK
24,2026-08-14T09:13:50Z,OK
25,2026-08-14T09:14:00Z,OK
26,2026-08-14T09:14:10Z,OK
27,2026-08-14T09:14:20Z,OK
28,2026-08-14T09:14:30Z,OK
29,2026-08-14T09:14:40Z,OK
30,2026-08-14T09:14:50Z,OK
31,2026-08-14T09:15:00Z,OK
32,2026-08-14T09:15:10Z,OK
33,2026-08-14T09:15:20Z,OK
34,2026-08-14T09:15:30Z,OK
35,2026-08-14T09:15:40Z,OK
36,2026-08-14T09:15:50Z,OK
37,2026-08-14T09:16:00Z,OK
38,2026-08-14T09:16:10Z,OK
39,2026-08-14T09:16:20Z,OK
40,2026-08-14T09:16:30Z,OK
41,2026-08-14T09:16:40Z,OK
42,2026-08-14T09:16:50Z,OK
43,2026-08-14T09:17:00Z,OK
44,2026-08-14T09:17:10Z,OK
45,2026-08-14T09:17:20Z,OK
46,2026-08-14T09:17:30Z,OK
47,2026-08-14T09:17:40Z,OK
48,2026-08-14T09:17:50Z,OK
49,2026-08-14T09:18:00Z,OK
50,2026-08-14T09:18:10Z,OK
