# SAMPLE touch-latency rows for REF-A — SEQ-join method per plan ch.06 S7/S30 (do not ship as gate data)
# join key: tap seq (monotonic per surface); t_down_us = evtest BTN_TOUCH down (MONOTONIC_US),
# frame_us = first frame_callback after commit; latency_ms = (frame_us - t_down_us) / 1000.
# build=halide-20260814-a3f9c1e2b4d6 sku=ref-a surface=android.org.fdroid excluded_contaminated:0/15
seq,t_down_us,frame_us,latency_ms
1,1000000000,1000034200,34.200
2,1001500000,1001543100,43.100
3,1003000000,1003035800,35.800
4,1004500000,1004564400,64.400
5,1006000000,1006041100,41.100
6,1007500000,1007554600,54.600
7,1009000000,1009047300,47.300
8,1010500000,1010583200,83.200
9,1012000000,1012048800,48.800
10,1013500000,1013550200,50.200
11,1015000000,1015049100,49.100
12,1016500000,1016588400,88.400
13,1018000000,1018040200,40.200
14,1019500000,1019551300,51.300
15,1021000000,1021105400,105.400
